word,avg
aback,3.5125430994676874
abase,4.586120973655052
abate,4.6325743425317185
abbey,3.9304814202901017
abbot,3.9879077266223177
abhor,4.598528516418665
abide,4.893572999209421
abled,4.877487260206584
abode,4.867953429361449
abort,5.092671748172645
about,4.685291435985301
above,4.496907554832201
abuse,4.972120749558894
abyss,3.630127541713482
acorn,5.155276155390064
acrid,4.915216004139993
actor,5.21665445996281
acute,5.236593164102715
adage,4.349542182246303
adapt,4.1307710782896905
adept,4.917918330624443
admin,4.450676616138569
admit,4.617513993626193
adobe,4.839507421735974
adopt,4.735950884427018
adore,5.434850993952365
adorn,5.04996206326798
adult,4.879185892072013
affix,2.870024995686363
afire,5.2486372693280154
afoot,4.134119577351672
afoul,4.520531090471032
after,5.1425620910028815
again,4.184570176297049
agape,4.296270224989013
agate,4.653317652669812
agent,5.087045141930308
agile,5.268849825748906
aging,3.844503548590936
aglow,4.233731480654306
agony,4.5812387859893
agree,4.866890498423767
ahead,4.326574845527687
aider,5.401911579147158
aisle,5.635641642534596
alarm,4.463880082291808
album,4.28068844517256
alert,5.744211188991762
algae,4.664540616804501
alibi,3.9934573496500096
alien,5.607061114370462
align,4.911672220020045
alike,5.177813553306449
alive,5.066754165526358
allay,3.6722888036676946
alley,4.625144954730713
allot,4.687465946033283
allow,3.99991629787873
alloy,4.3031954542804085
aloft,4.926641351918753
alone,5.611281973307493
along,4.862433656734607
aloof,4.091499307809344
aloud,4.849443006986366
alpha,3.912876279767915
altar,4.837397460879495
alter,5.713372336368845
amass,3.439271560974847
amaze,3.7870263268216853
amber,4.861623520835699
amble,4.851186756026179
amend,4.79686818310907
amiss,4.0497380488860495
amity,4.676669601513247
among,4.422539003843051
ample,4.951236595036848
amply,4.29930395798558
amuse,5.04822943232564
angel,5.137114686868097
anger,5.189321273813297
angle,5.180825348959141
angry,4.659229458312046
angst,4.8663406650887095
anime,5.178221717243861
ankle,4.9980073500013855
annex,3.838636907580928
annoy,4.1034563631593235
annul,4.182163570403352
anode,5.25377277885085
antic,4.884227308703012
anvil,4.558961525218776
aorta,4.771831616647096
apart,4.63580871754308
aphid,4.304668862672561
aping,4.475277244798403
apnea,4.477505126287328
apple,4.482178181155534
apply,3.822164830926889
apron,5.02740594587053
aptly,4.724542874468952
arbor,4.410165616343081
ardor,4.546851637471651
arena,4.907088478042175
argue,5.216576079549333
arise,5.821023459282912
armor,4.459426267978041
aroma,4.366161220274559
arose,5.767804897087286
array,3.9195000870245855
arrow,4.238387165688609
arson,5.341245373690036
artsy,5.218202991144533
ascot,4.9851359353748
ashen,5.01302557365073
aside,5.191856633166496
askew,4.289132078931296
assay,3.435756173587748
asset,4.776605971379172
atoll,4.601469850615769
atone,5.557454213254542
attic,4.222814580390272
audio,4.590283746704057
audit,4.884057709942019
augur,4.0407541570109435
aunty,4.77418139069924
avail,4.07398029832618
avert,5.085679178557741
avian,3.971243111550678
avoid,4.331645527366476
await,4.262252811903069
awake,3.9731719228052915
award,4.057648802075799
aware,4.659540746497596
awash,3.9148481751002344
awful,3.9747045978296995
awoke,4.53370065042036
axial,3.8141922558255152
axiom,3.9742839703481208
axion,4.301697778766849
azure,4.70118259691444
bacon,4.688028678138714
badge,4.691179605918792
badly,4.45458590350543
bagel,4.94201868190158
baggy,3.435352872693774
baker,4.799370191029401
baler,5.332516581398929
balmy,4.3251442159440074
banal,4.276473384452536
banjo,3.908646931967982
barge,5.114311352137085
baron,5.048518223733797
basal,4.264499606748631
basic,4.602744249445583
basil,4.927520502957077
basin,4.829880584246979
basis,4.0402498475561455
baste,5.304690860304447
batch,4.528256255092825
bathe,5.048499839555114
baton,4.923688249948153
batty,3.9960164546298635
bawdy,3.84401008291348
bayou,4.304049732645968
beach,4.792088897949576
beady,4.65110117105013
beard,5.143825772805663
beast,5.3725710221939735
beech,4.029193044398133
beefy,3.653835634337671
befit,4.5684893877708665
began,4.729008191581963
begat,4.894557324271329
beget,4.3196596531557345
begin,4.540638530135062
begun,4.3243364888264
being,4.549306482353606
belch,4.527569098495817
belie,4.637541700194521
belle,3.9143920420815586
belly,3.9544862677073334
below,4.411666232667067
bench,4.458738345394388
beret,4.841984861071275
berry,4.16130257287008
berth,4.903520269797743
beset,4.622363182507821
betel,4.629534207544874
bevel,3.9778598306547917
bezel,3.747042520484062
bible,4.249922014675921
bicep,4.539171085332864
biddy,3.3284677511044336
bigot,4.482896071777133
bilge,4.76359707812549
billy,3.764118237580215
binge,4.653035373507208
bingo,4.209541190800366
biome,4.764163976680648
birch,4.462209141802642
birth,4.683538057578958
bison,4.634068959078303
bitty,3.7905796739311257
black,4.311961303427139
blade,5.113406049110358
blame,5.019035429556831
bland,4.714776442163915
blank,4.438306777262194
blare,5.486044168394807
blast,5.120061798093614
blaze,4.525793386573894
bleak,4.595724614711989
bleat,5.232640182554796
bleed,4.342687909670793
bleep,4.281581312561591
blend,4.667318781462272
bless,4.135848813148197
blimp,4.09257047394093
blind,4.4884822463034215
blink,4.223387644110829
bliss,3.9762487654295895
blitz,3.983963332546082
bloat,5.095590411641325
block,4.121957641783851
bloke,4.6383116431002165
blond,4.526500884392832
blood,3.883303786348778
bloom,3.722079904593826
blown,4.167831247494758
bluer,5.004524376657532
bluff,3.124748181449534
blunt,4.621203543611708
blurb,3.763560613543728
blurt,4.803528884538821
blush,4.359296212017783
board,4.933732061100754
boast,5.14052646125073
bobby,2.6066539764705112
boney,4.753907075211288
bongo,3.5955588989161917
bonus,4.419936718295816
booby,2.8943808628295224
boost,4.224243883163644
booth,3.9054335365612443
booty,3.8773974174688766
booze,3.569456384649411
boozy,2.9647324197064977
borax,4.2388211228512915
borne,5.249577627174495
bosom,3.615593644836989
bossy,3.7268965127579445
botch,4.350905400896425
bough,4.03374234863684
boule,5.027443155497569
bound,4.334830361785104
bowel,4.582128040639801
boxer,4.329647895714229
brace,5.388203150410665
braid,4.9065916912431815
brain,5.094137962016193
brake,4.992552916126144
brand,4.865287589421812
brash,4.876680994343068
brass,4.280279199163877
brave,4.893482599781887
bravo,4.470009950876119
brawl,4.5899173088020575
brawn,4.528770052854685
bread,5.049981321930944
break,4.774794715178682
breed,4.46589086027515
briar,4.495729104929389
bribe,4.400521811074149
brick,4.268875881136894
bride,5.036392904625327
brief,4.762606400877278
brine,5.254980120240422
bring,4.4497878227030485
brink,4.373102952862957
briny,4.639767037794869
brisk,4.429290037324085
broad,4.896030433516789
broil,4.986344480776547
broke,4.777130497341005
brood,4.032214071351873
brook,3.755265715288377
broom,3.872318624889452
broth,4.769856495427703
brown,4.326220902678445
brunt,4.789469708901192
brush,4.489113046545975
brute,5.149158727064333
buddy,3.126451108062665
budge,4.272064336353926
buggy,3.012152163497182
bugle,4.592816146893277
build,4.427341860034277
built,4.775009399825682
bulge,4.565754994102854
bulky,3.744273958997079
bully,3.5564935316635102
bunch,4.049414758270719
bunny,3.4379578648719686
burly,4.4199044926735125
burnt,4.76266167084236
burst,4.822773804560304
bused,4.553112873927256
bushy,3.8835656998095365
butch,4.114678974384786
butte,4.2330554463133225
buxom,3.302559025392814
buyer,4.652071884823792
bylaw,4.001328603058933
cabal,4.18798883920918
cabby,3.602719200170652
cabin,4.755960723790252
cable,5.251872286477452
cacao,3.6439542625686716
cache,4.404527615636123
cacti,4.246664835344574
caddy,3.8025262379756644
cadet,5.36664909918952
cagey,4.859438058566976
cairn,5.366075447753733
camel,5.213508957601339
cameo,5.0681254838179015
canal,4.543635457236484
candy,4.603579537563577
canny,4.124137284809984
canoe,5.514715531974432
canon,4.370059867185151
caper,5.330958422031463
caput,4.8028613800108
carat,4.857267547434129
cargo,4.945546896528858
carol,5.3906552037089055
carry,4.434178450676446
carve,5.130888006315978
caste,5.571255323961437
catch,4.112376439722237
cater,5.64807761864117
catty,4.249360668149775
caulk,4.574863908658558
cause,5.410047227701636
cavil,4.63618540620316
cease,5.104937656602056
cedar,5.334608744840711
cello,4.47559292542807
chafe,4.802949407656406
chaff,3.4927364469001465
chain,4.8989792221057655
chair,5.136667158556861
chalk,4.454940128413636
champ,4.242220893233045
chant,5.016102595776252
chaos,4.819140854794615
chard,4.8451182995912
charm,4.716685410136407
chart,5.2003467104874455
chase,5.283209966891617
chasm,4.549175612793447
cheap,4.765589927518154
cheat,5.180961406014953
check,3.4692072776609653
cheek,3.9781943714196855
cheer,4.628732851306347
chess,4.029569725736434
chest,4.960810539930651
chick,3.329322901441226
chide,4.837758900981582
chief,4.570626214898672
child,4.551481839951379
chili,3.896202361029513
chill,4.09333029042106
chime,4.759570487699658
china,4.759236635322401
chirp,4.582471209445652
chock,3.351386121892624
choir,4.97324269555453
choke,4.559815845994181
chord,4.676084358936263
chore,5.260915266641409
chose,5.084856878866388
chuck,3.127683117691336
chump,3.8274608324749084
chunk,3.943989443265013
churn,4.625615358675437
chute,4.9257874984295
cider,5.155727214134359
cigar,4.980378686218994
cinch,3.806738875315268
circa,4.373070055849893
civic,2.676717554535821
civil,3.6546388115074167
clack,3.8947722822736583
claim,4.898012894609876
clamp,4.566471956892072
clang,4.788350749881498
clank,4.68301537883077
clash,4.977190611498074
clasp,4.951830104030175
class,4.417057469275407
clean,5.339066363864466
clear,5.547450519432378
cleat,5.489422897356735
cleft,4.79872268263526
clerk,4.794902979412635
click,3.6921733928302065
cliff,3.6111904392111964
climb,4.2364561864610595
cling,4.557274765146409
clink,4.461080103251512
cloak,4.712424443668067
clock,3.6970394120413355
clone,5.382912073668944
close,5.427638071462524
cloth,4.832679916119365
cloud,4.65732969113626
clout,4.997730515235476
clove,4.8038004947204405
clown,4.444546551006778
cluck,3.476030005128917
clued,4.953925456560428
clump,4.147810929015318
clung,4.345221216421616
coach,4.166974220657934
coast,5.385023153746124
cobra,4.84159313470496
cocoa,3.512088287404443
colon,4.276449290343515
color,4.487860703339979
comet,5.099183842150135
comfy,3.895166872148411
comic,3.770416978079176
comma,3.8242470463699463
conch,3.885434672718982
condo,3.9692511331290934
conic,4.097343806662806
copse,5.097197996592671
coral,5.349398416363143
corer,4.788962486933097
corny,4.9071069261672005
couch,3.7810025328883157
cough,4.2635575991546775
could,4.70506088838582
count,4.961057501048147
coupe,4.9249907631711585
court,5.171907701641044
coven,4.670048003127343
cover,4.82065040452747
covet,4.82947796366473
covey,4.421333474902473
cower,4.90000597082441
coyly,3.8832148746942803
crack,4.042010825128515
craft,5.030105680218205
cramp,4.720390239676633
crane,5.741011320165297
crank,4.832247244445107
crash,5.099438732766666
crass,4.54310755840296
crate,5.835215982633285
crave,5.163205052927666
crawl,4.857326516443992
craze,4.938293256399875
crazy,4.30678249835725
creak,5.019342810585985
cream,5.191287487368033
credo,5.055225939710953
creed,4.720687372137352
creek,4.43656621691178
creep,4.663827610069464
creme,4.645656199387538
crepe,4.705519733498836
crept,5.164582326460586
cress,4.5080102253145125
crest,5.460207662676908
crick,3.836493350633308
cried,5.2918034701947185
crier,4.839574033266878
crime,5.227405874064115
crimp,4.518158355164432
crisp,4.878565881837306
croak,4.880668895331336
crock,3.847520493666086
crone,5.511593461135512
crony,4.940477174079175
crook,3.9993180556789634
cross,4.341562931874231
croup,4.738059055187319
crowd,4.431687558542645
crown,4.597367056367458
crude,5.0854113748059
cruel,5.318053994587365
crumb,4.169409253480547
crump,4.305218858598349
crush,4.711162665961136
crust,5.109628961318279
crypt,4.623529819948404
cubic,3.4929561453750666
cumin,4.384052720240871
curio,4.907033832607154
curly,4.6723388100622945
curry,4.017716830136257
curse,5.335018155882452
curve,4.702417303755402
curvy,4.068546402105453
cutie,5.210754875523309
cyber,4.633689080754068
cycle,4.149772675232752
cynic,3.6833805369437087
daddy,3.026273258137203
daily,4.924069927825322
dairy,5.024379912798317
daisy,4.90180104101437
dally,4.105804404738685
dance,5.2921431854232655
dandy,3.902377600067436
datum,4.514206214744792
daunt,4.991136390346433
dealt,5.556164141615792
death,5.158971406367805
debar,5.068742317750482
debit,4.810076049156928
debug,4.1082541185518995
debut,4.602002984381937
decal,5.110898160075869
decay,4.780392822695836
decor,5.056892500142629
decoy,4.578419772173035
decry,4.727802732469135
defer,4.286891386945662
deign,4.760342358715847
deity,4.916759641359106
delay,5.011761241133379
delta,5.235866161792472
delve,4.125860538453988
demon,4.680577116178935
demur,4.725244470363386
denim,4.680434161213732
dense,4.71203598661048
depot,4.903866218122516
depth,4.564202833430175
derby,4.5252687113026155
deter,4.828401052946208
detox,4.2635203644092385
deuce,4.47005290627598
devil,4.549763600053392
diary,5.00558878369507
dicey,4.694392725512927
digit,3.825049535145387
dilly,3.9067625846214833
dimly,4.293466359276807
diner,5.234163747943294
dingo,4.359358401469193
dingy,4.15949338218077
diode,4.412348555889155
dirge,5.029339127470464
dirty,4.785971468301077
disco,4.595888106658932
ditch,4.4425926389722346
ditto,4.129602972488396
ditty,3.9203368307774524
diver,4.676724356369425
dizzy,2.7604547647400306
dodge,4.053957832999123
dodgy,3.437586748750124
dogma,4.234018623750743
doing,4.501819437738688
dolly,3.9517570768340287
donor,4.349010391633146
donut,4.794239916687734
dopey,4.6387577697081825
doubt,4.441031799341069
dough,4.175853879352771
dowdy,3.219550690832138
dowel,4.72627621984795
downy,4.085175584287834
dowry,4.261298318580751
dozen,4.324202621844797
draft,4.902570227933351
drain,5.24661800106399
drake,5.135206592809233
drama,4.199810000368676
drank,4.740413620105547
drape,5.3579893128558975
drawl,4.741537322907032
drawn,4.690615535939337
dread,4.602472791531397
dream,5.067972225121528
dress,4.399024280448167
dried,4.585594598835593
drier,4.723389351590687
drift,4.696789412404821
drill,4.408680993181165
drink,4.517453160026918
drive,4.8310469808359136
droit,5.246960013024893
droll,4.425595344996199
drone,5.398303867644634
drool,4.422517230228404
droop,4.100471283620261
dross,4.2287944997957325
drove,4.814198999558677
drown,4.486545986233637
druid,4.076759817789959
drunk,4.316424656286861
dryer,4.30687980064393
dryly,3.8147488113192853
duchy,3.851063779770089
dully,3.7109257238515005
dummy,3.162717011275646
dumpy,3.7177286635860924
dunce,4.86062323600721
dusky,3.8080340416687046
dusty,4.358409763310524
dutch,4.255485186629901
duvet,4.512754758604444
dwarf,4.178001273343426
dwell,3.861412664145935
dwelt,4.662506449492849
dying,4.110679874773145
eager,4.785444954735569
eagle,4.823561777006184
early,5.317580997012498
earth,5.415427531501214
easel,5.029691544678619
eaten,5.030342825842715
eater,5.1650871404543945
ebony,4.4927228228058445
eclat,5.259340353919471
edict,4.871865869891994
edify,4.124447588259445
eerie,4.289239237573884
egret,4.635743412738482
eight,4.614092406823702
eject,3.7515283927389715
eking,4.188612322798854
elate,5.219128480967041
elbow,4.277436894866021
elder,4.678693563010053
elect,4.707809442932623
elegy,4.14132833724391
elfin,4.686028921400577
elide,4.707019061567522
elite,5.036027520601181
elope,4.662350604598062
elude,4.501211257059625
email,5.104033677183739
embed,3.754239208458371
ember,4.097961582302543
emcee,3.530148342263664
empty,4.211131360476782
enact,5.323893406721709
endow,4.258099286092384
enema,4.300167334930563
enemy,3.9657481365328717
enjoy,3.9045343286528493
ennui,3.949502533274642
ensue,4.53039397955743
enter,4.813109035420429
entry,4.947715442904612
envoy,4.1843001161556135
epoch,4.540426905233433
epoxy,3.793722807150111
equal,4.285579529849854
equip,3.8002014491241094
erase,5.290077834352199
erect,4.872968295904146
erode,4.819862074308596
error,3.923036754518952
erupt,5.052472208657308
essay,4.183066161660649
ester,4.763719378819042
ether,4.535012061465025
ethic,4.5360128563760735
ethos,4.668326148807331
etude,4.420477489740757
evade,4.192700631155354
event,4.104987659169598
every,3.910803419672746
evict,4.562797851801421
evoke,3.7154532169582994
exact,4.545151057294813
exalt,4.755335981497681
excel,3.7699501401053106
exert,4.082121470796259
exile,4.099064005491477
exist,4.520500248847639
expel,3.6614606572760136
extol,4.375274726703296
extra,4.555006210394399
exult,4.3217686249371825
eying,4.444373664183513
fable,4.865925895335313
facet,5.075191785280718
faint,4.965913563249393
fairy,4.786967329950507
faith,4.719302003436233
false,5.268453128915503
fancy,4.383591637425777
fanny,3.7607697723799096
farce,5.25826227165514
fatal,4.2387741709962254
fatty,3.8920454008016296
fault,4.83371971897118
fauna,3.9030915519259524
favor,4.428823174259607
feast,5.284333574723998
fecal,4.870340416046633
feign,4.515489241446041
fella,4.248604527829628
felon,4.804387268487574
femme,3.2417205195366403
femur,4.477198807533766
fence,4.310332436948157
feral,5.190563020103873
ferry,4.054862018558217
fetal,5.09113205826795
fetch,4.424441833007131
fetid,4.643981227410995
fetus,4.570835830259439
fever,3.9330566838734664
fewer,4.015571917277143
fiber,4.653451579700116
ficus,4.097341859140193
field,4.655832411722061
fiend,4.560449726326374
fiery,4.725743510174803
fifth,3.4835738193015313
fifty,3.4620255594583798
fight,4.006451131104308
filer,5.030305288815351
filet,5.091642303756264
filly,3.647263135524188
filmy,4.014470472251245
filth,4.416979650043653
final,4.7348030081632455
finch,4.1242550262358
finer,4.97512907991644
first,4.927573377661453
fishy,3.9758504165527593
fixer,4.190500725637171
fizzy,2.5060473230811153
fjord,3.6783697836721356
flack,4.202813661150771
flail,4.188272749579063
flair,5.046367650822266
flake,4.737238353535224
flaky,4.106902050629257
flame,4.909516223675032
flank,4.328443175939671
flare,5.373354547971322
flash,4.650083803828634
flask,4.392220364306777
fleck,4.155307797689475
fleet,4.595989816232251
flesh,4.627015892972838
flick,4.007700747116842
flier,5.105467014358198
fling,4.189357574792617
flint,4.725810984985961
flirt,4.920167509976415
float,4.977065712517717
flock,4.009434298599809
flood,3.7658585284368815
floor,4.152980184845208
flora,4.875266584307868
floss,3.8580494778976213
flour,4.674213861312432
flout,4.622568034513596
flown,4.066534333877818
fluff,2.564009019953526
fluid,4.258950576636228
fluke,4.333160806225157
flume,4.482783969454642
flung,3.982333714750772
flunk,3.896096374856791
flush,4.251810398849395
flute,4.892997438237534
flyer,4.708485442522967
foamy,4.2880460664088895
focal,4.643474891049898
focus,4.162892290032576
foggy,3.1652672417948056
foist,4.8714249501432905
folio,3.9520889477063026
folly,3.6984050620098468
foray,4.735775956101374
force,5.058197090670471
forge,4.821560017146676
forgo,3.722180115735988
forte,5.227465931068337
forth,4.637916617614727
forty,4.604608008959316
forum,4.2613043786955505
found,4.231873958717438
foyer,4.758207395725838
frail,5.050894968308691
frame,5.062013815526714
frank,4.5031114672193455
fraud,4.615867701373519
freak,4.6833982117048425
freed,4.362464126135827
freer,3.911180455176258
fresh,4.764893017034015
friar,4.398143834075149
fried,4.919598308449698
frill,4.155968681679132
frisk,4.32841513244169
fritz,4.047449206670753
frock,4.184702818285345
frond,4.579431663449587
front,4.937661496307487
frost,4.967325133730297
froth,4.675020108797693
frown,4.2337571470604045
froze,4.338419405808581
fruit,4.8023638571856795
fudge,4.170033928344011
fugue,3.5709690716646865
fully,3.452429513355856
fungi,3.839549927469303
funky,3.5713144640934584
funny,3.3325637204447425
furor,4.001279169715498
furry,3.6575258357006146
fussy,3.3863161312318972
fuzzy,2.304360464141179
gaffe,3.947258990110051
gaily,4.833301535278567
gamer,5.036513371008342
gamma,2.9931979386161376
gamut,4.5228769115574154
gassy,3.950380447171212
gaudy,4.292109146938575
gauge,4.288959413883467
gaunt,4.873633516252519
gauze,4.325402858423992
gavel,4.721834807967427
gawky,3.645058465143093
gayer,5.079610131724706
gayly,3.831263116326301
gazer,4.542958639233849
gecko,4.1723869819481285
geeky,3.662175676755277
geese,3.862077049895471
genie,4.603933643942144
genre,4.727939828133093
ghost,4.641846458498019
ghoul,4.423641214141119
giant,5.069269616823117
giddy,3.364161145338143
gipsy,4.225065214156139
girly,4.6599246180277305
girth,4.715563264341791
given,4.415616141096082
giver,4.580257890767317
glade,5.155879615339589
gland,4.766568215618161
glare,5.530269109066343
glass,4.21596097937447
glaze,4.577917570041149
gleam,4.809302706133582
glean,5.110895396657258
glide,4.944599720988462
glint,4.85855166492555
gloat,5.139478921993485
globe,4.776893655823268
gloom,3.785091779121516
glory,4.725421221699564
gloss,4.0195955231222005
glove,4.581743140905437
glyph,3.9239848900299004
gnash,4.657432632096822
gnome,4.67931423982575
godly,4.350800592641768
going,3.8833106033473395
golem,4.798161906269507
golly,3.8663450483285127
gonad,4.697182335392985
goner,5.164989232186844
goody,3.6079269080332623
gooey,4.168372827979807
goofy,3.371610496101157
goose,4.489707009204393
gorge,4.443313669522255
gouge,4.1156463649961434
gourd,4.595149523301616
grace,5.414855010608604
grade,5.274356744723237
graft,4.801539927003906
grail,5.2004979148025985
grain,5.12414712623694
grand,4.898213634315489
grant,5.242673255586662
grape,5.247309826001407
graph,4.631324341582543
grasp,4.865878354902431
grass,4.325671185128735
grate,5.604721071049503
grave,4.928091564360035
gravy,4.339673762407593
graze,4.700971791209528
great,5.452072779098323
greed,4.509155281416806
green,4.6890001566850845
greet,4.873219226744669
grief,4.8074649153161
grill,4.303920187554111
grime,4.995226497066229
grimy,4.385248736559852
grind,4.65948221929792
gripe,5.046980147357445
groan,5.101196787216843
groin,4.9421684072172765
groom,3.922159696090272
grope,5.026425442875173
gross,4.125238018407038
group,4.515707825263872
grout,4.933894660891444
grove,4.706420484574236
growl,4.446051827353356
grown,4.357974851767336
gruel,5.094376459810095
gruff,3.338103711159033
grunt,4.810387324049696
guard,4.732374093508515
guava,3.4809678707901646
guess,3.974398610442061
guest,4.93040909799396
guide,4.716934276822929
guild,4.484306846040797
guile,5.0700783074599975
guilt,4.815373209455608
guise,5.0164547112583255
gulch,4.168295094263087
gully,3.6201507700345634
gumbo,3.7049116280158305
gummy,3.069768497018516
guppy,3.1124074184226465
gusto,4.5234912606878925
gusty,4.281243224785286
gypsy,3.206049976261097
habit,4.759708910454546
hairy,4.9831647570133475
halve,4.818868748361813
handy,4.447880420478922
happy,3.580457873598426
hardy,4.649032941659517
harem,5.132142964291157
harpy,4.6185924446641975
harry,4.262982776890447
harsh,4.390536731816851
